date,line,ridership,line_name,ridership_2019,ridership_2018
2021-01-01,801,22330.0,Blue,27575.416666666668,64639.666666666664
2021-02-01,801,23527.0,Blue,27575.416666666668,64639.666666666664
2020-01-01,801,50456.0,Blue,27575.416666666668,64639.666666666664
2020-02-01,801,52957.0,Blue,27575.416666666668,64639.666666666664
2020-03-01,801,34721.0,Blue,27575.416666666668,64639.666666666664
2020-04-01,801,17826.0,Blue,27575.416666666668,64639.666666666664
2020-05-01,801,20003.0,Blue,27575.416666666668,64639.666666666664
2020-06-01,801,22086.0,Blue,27575.416666666668,64639.666666666664
2020-07-01,801,22854.0,Blue,27575.416666666668,64639.666666666664
2020-08-01,801,22741.0,Blue,27575.416666666668,64639.666666666664
2020-09-01,801,24239.0,Blue,27575.416666666668,64639.666666666664
2020-10-01,801,24909.0,Blue,27575.416666666668,64639.666666666664
2020-11-01,801,24368.0,Blue,27575.416666666668,64639.666666666664
2020-12-01,801,22411.0,Blue,27575.416666666668,64639.666666666664
2019-02-01,801,29774.0,Blue,27575.416666666668,64639.666666666664
2019-03-01,801,30599.0,Blue,27575.416666666668,64639.666666666664
2019-04-01,801,30092.0,Blue,27575.416666666668,64639.666666666664
2019-05-01,801,29560.0,Blue,27575.416666666668,64639.666666666664
2019-06-01,801,10950.0,Blue,27575.416666666668,64639.666666666664
2019-07-01,801,11474.0,Blue,27575.416666666668,64639.666666666664
2019-08-01,801,11938.0,Blue,27575.416666666668,64639.666666666664
2019-09-01,801,12528.0,Blue,27575.416666666668,64639.666666666664
2019-10-01,801,12322.0,Blue,27575.416666666668,64639.666666666664
2019-11-01,801,44578.0,Blue,27575.416666666668,64639.666666666664
2019-12-01,801,45467.0,Blue,27575.416666666668,64639.666666666664
2021-01-01,802,50074.0,Red,133426.16666666666,137177.5
2021-02-01,802,51534.0,Red,133426.16666666666,137177.5
2020-01-01,802,133715.0,Red,133426.16666666666,137177.5
2020-02-01,802,133755.0,Red,133426.16666666666,137177.5
2020-03-01,802,79771.0,Red,133426.16666666666,137177.5
2020-04-01,802,42206.0,Red,133426.16666666666,137177.5
2020-05-01,802,50351.0,Red,133426.16666666666,137177.5
2020-06-01,802,62341.0,Red,133426.16666666666,137177.5
2020-07-01,802,57910.0,Red,133426.16666666666,137177.5
2020-08-01,802,56615.0,Red,133426.16666666666,137177.5
2020-09-01,802,60509.0,Red,133426.16666666666,137177.5
2020-10-01,802,63153.0,Red,133426.16666666666,137177.5
2020-11-01,802,64261.0,Red,133426.16666666666,137177.5
2020-12-01,802,54121.0,Red,133426.16666666666,137177.5
2019-02-01,802,139850.0,Red,133426.16666666666,137177.5
2019-03-01,802,136622.0,Red,133426.16666666666,137177.5
2019-04-01,802,135951.0,Red,133426.16666666666,137177.5
2019-05-01,802,134329.0,Red,133426.16666666666,137177.5
2019-06-01,802,132859.0,Red,133426.16666666666,137177.5
2019-07-01,802,130228.0,Red,133426.16666666666,137177.5
2019-08-01,802,127642.0,Red,133426.16666666666,137177.5
2019-09-01,802,131033.0,Red,133426.16666666666,137177.5
2019-10-01,802,131696.0,Red,133426.16666666666,137177.5
2019-11-01,802,130623.0,Red,133426.16666666666,137177.5
2019-12-01,802,130522.0,Red,133426.16666666666,137177.5
2021-01-01,803,11146.0,Green,29290.75,30847.416666666668
2021-02-01,803,11745.0,Green,29290.75,30847.416666666668
2020-01-01,803,29333.0,Green,29290.75,30847.416666666668
2020-02-01,803,29376.0,Green,29290.75,30847.416666666668
2020-03-01,803,19015.0,Green,29290.75,30847.416666666668
2020-04-01,803,8694.0,Green,29290.75,30847.416666666668
2020-05-01,803,9790.0,Green,29290.75,30847.416666666668
2020-06-01,803,10304.0,Green,29290.75,30847.416666666668
2020-07-01,803,12160.0,Green,29290.75,30847.416666666668
2020-08-01,803,11854.0,Green,29290.75,30847.416666666668
2020-09-01,803,12192.0,Green,29290.75,30847.416666666668
2020-10-01,803,12141.0,Green,29290.75,30847.416666666668
2020-11-01,803,11604.0,Green,29290.75,30847.416666666668
2020-12-01,803,10974.0,Green,29290.75,30847.416666666668
2019-02-01,803,29607.0,Green,29290.75,30847.416666666668
2019-03-01,803,29056.0,Green,29290.75,30847.416666666668
2019-04-01,803,27783.0,Green,29290.75,30847.416666666668
2019-05-01,803,27190.0,Green,29290.75,30847.416666666668
2019-06-01,803,28272.0,Green,29290.75,30847.416666666668
2019-07-01,803,28547.0,Green,29290.75,30847.416666666668
2019-08-01,803,29295.0,Green,29290.75,30847.416666666668
2019-09-01,803,30239.0,Green,29290.75,30847.416666666668
2019-10-01,803,30236.0,Green,29290.75,30847.416666666668
2019-11-01,803,30052.0,Green,29290.75,30847.416666666668
2019-12-01,803,29501.0,Green,29290.75,30847.416666666668
2021-01-01,804,10880.0,Gold,47672.666666666664,50538.0
2021-02-01,804,11814.0,Gold,47672.666666666664,50538.0
2020-01-01,804,47962.0,Gold,47672.666666666664,50538.0
2020-02-01,804,47697.0,Gold,47672.666666666664,50538.0
2020-03-01,804,26926.0,Gold,47672.666666666664,50538.0
2020-04-01,804,12847.0,Gold,47672.666666666664,50538.0
2020-05-01,804,15420.0,Gold,47672.666666666664,50538.0
2020-06-01,804,19444.0,Gold,47672.666666666664,50538.0
2020-07-01,804,13636.0,Gold,47672.666666666664,50538.0
2020-08-01,804,13566.0,Gold,47672.666666666664,50538.0
2020-09-01,804,14446.0,Gold,47672.666666666664,50538.0
2020-10-01,804,14545.0,Gold,47672.666666666664,50538.0
2020-11-01,804,12873.0,Gold,47672.666666666664,50538.0
2020-12-01,804,11240.0,Gold,47672.666666666664,50538.0
2019-02-01,804,54130.0,Gold,47672.666666666664,50538.0
2019-03-01,804,52632.0,Gold,47672.666666666664,50538.0
2019-04-01,804,50463.0,Gold,47672.666666666664,50538.0
2019-05-01,804,48563.0,Gold,47672.666666666664,50538.0
2019-06-01,804,47884.0,Gold,47672.666666666664,50538.0
2019-07-01,804,44686.0,Gold,47672.666666666664,50538.0
2019-08-01,804,43027.0,Gold,47672.666666666664,50538.0
2019-09-01,804,42108.0,Gold,47672.666666666664,50538.0
2019-10-01,804,42505.0,Gold,47672.666666666664,50538.0
2019-11-01,804,43838.0,Gold,47672.666666666664,50538.0
2019-12-01,804,47329.0,Gold,47672.666666666664,50538.0
2021-01-01,806,15999.0,Expo,57985.333333333336,61035.416666666664
2021-02-01,806,17641.0,Expo,57985.333333333336,61035.416666666664
2020-01-01,806,55117.0,Expo,57985.333333333336,61035.416666666664
2020-02-01,806,57659.0,Expo,57985.333333333336,61035.416666666664
2020-03-01,806,32030.0,Expo,57985.333333333336,61035.416666666664
2020-04-01,806,12848.0,Expo,57985.333333333336,61035.416666666664
2020-05-01,806,15261.0,Expo,57985.333333333336,61035.416666666664
2020-06-01,806,18357.0,Expo,57985.333333333336,61035.416666666664
2020-07-01,806,18132.0,Expo,57985.333333333336,61035.416666666664
2020-08-01,806,18553.0,Expo,57985.333333333336,61035.416666666664
2020-09-01,806,18667.0,Expo,57985.333333333336,61035.416666666664
2020-10-01,806,18983.0,Expo,57985.333333333336,61035.416666666664
2020-11-01,806,18129.0,Expo,57985.333333333336,61035.416666666664
2020-12-01,806,16333.0,Expo,57985.333333333336,61035.416666666664
2019-02-01,806,61104.0,Expo,57985.333333333336,61035.416666666664
2019-03-01,806,61828.0,Expo,57985.333333333336,61035.416666666664
2019-04-01,806,62135.0,Expo,57985.333333333336,61035.416666666664
2019-05-01,806,61372.0,Expo,57985.333333333336,61035.416666666664
2019-06-01,806,61045.0,Expo,57985.333333333336,61035.416666666664
2019-07-01,806,58521.0,Expo,57985.333333333336,61035.416666666664
2019-08-01,806,56147.0,Expo,57985.333333333336,61035.416666666664
2019-09-01,806,54030.0,Expo,57985.333333333336,61035.416666666664
2019-10-01,806,53242.0,Expo,57985.333333333336,61035.416666666664
2019-11-01,806,51833.0,Expo,57985.333333333336,61035.416666666664
2019-12-01,806,52995.0,Expo,57985.333333333336,61035.416666666664
